,ID,LLM_SMI,Fixed_SMI,Dative,Valence,NumAttempts,NumValence,NumOut
10,10_11,O=C1N=C([S-]->[Cu+2]2(<-[S-]C(=NC(=O)c3ccccc3)N3CCN4CCN->2=C43)<-N2=C(N=C([S-]->3)N3CCN4CC3)N3CCOCC2)N2CCOCC1,O=C1CCOCCNC([S-]->[Cu+2]2(<-N3=C4N=C5[S-]N5CCNCCN4CCOCC3)<-[S-]C(=NC(=O)c3ccccc3)N3CCN4CCN->2=C43)=N1,True,False,12,12,12
11,11_1,CC1(C)C2CCC(C2)N1->[Cu+]<-N1=C(c2ccccc2)C1CCC2C3CCC(C3)N1C(C)(C)C21CCC(C1)N->21C(C)(C)C1CCC2C3CCC(C3)N1C2(C)C,CC1CCC2c3cccccC(C4CCC(N5C(C)(C)C56CCC5CC56C(C)(C)C5CCC6C7CCC(C7)N5C6(C)C)C4)CCC4C3=N4->[Cu+]<-N1C2(C)C,True,True,9,8,8
12,12_26,CC#N->[Cu+2]123<-n4nn(Cc5ccccc5)cc4CN->1(Cc1nn(Cc4ccccc4)cc1CN->2(Cc1nn(Cc4ccccc4)cc1CN->3(Cc1ccccc1)Cc1nn(Cc4ccccc4)cc1C(N)O->4)C1CCOCC1)CCOCC1,CC#N->[Cu+2]123<-n4nn(Cc5ccccc5)cc4CN->14CCOCCCCOCCC1c5cn6ncCN->2(Cc2ccccc2)Cc2cn(nc2CN->31Cc1cn(Cc2ccccc2)nc1C4)Cccccccc(cccccOC5N)C6,True,False,96,43,43
13,13_4,Oc1ccc([N-]2C3=C([N-](c4ccc(O)cc4)->[Ni+4]<-24(<-[I-])<-[N-](C2=C([N-]->4c4ccc(O)cc4)c4cccc5cccc2c45)c2ccc(O)cc2)C2=C([N-]->5c4ccc(O)cc4)c4cccc5cccc2c45)cc1,Oc1ccc(N2C3=C(C4=C[N-](c5ccc(O)cc5)->[Ni+4]5(<-[I-])(<-[N-]4c4ccc(O)cc4)<-[N-](c4ccc(O)cc4)C4=C(c6cccc7cccc4c67)[N-]->5c4ccc(O)cc4)c4cccc2cccc3c4)cc1,True,True,5,5,5
14,14_3,C1=CC2=C(c3ccccc3)C3=N4->[Ni]56<-N7=C(C=CC7=C(c7ccccc7)C1=N->52)C(c1ccccc1)=C1C=CC(=N->61)C(=N->76)C=C3,C1=CC2=N->[Ni]3<-N4=C(C=CC4=C(c4ccccc4)C4=N->3C(=C2c2ccccc2)C=C4)C(c2ccccc2)=C2C=CC3=C2N=C13,True,True,14,11,11
15,15_5,C=CCc1cc(C)cc2c1-c12P(C(c1ccccc1)(c1ccccc1)c1ccccc1)(C(=O)c1ccccc1)->[Pt+2]1(<-[Cl-])<-[CH-](C#N)[C-]->1(C#N)P(C(C)(C)C)(C(C)(C)C)=C2,C=CCc1cc(C)cc2c1-c21c2cccccccccccC2(c2ccccc2)P1(C(=O)c1ccccc1)->[Pt+2]1(<-[Cl-])<-[CH-](C#N)[C-]->1(C#N)P(=C)(C(C)(C)C)C(C)(C)C,False,False,33,11,11
16,16_1,c1ccc(P2(NCc3cccc[n+]35->[IrH+2]456(<-[c-]34C2)<-n2c(CP->4(c4ccccc4)c4ccccc4)ccc3cccc[c-]->5c32)c2ccccc2)cc1,c1ccc([PH]2(c3ccccc3)C[c-]34->[IrH+2]5<-n6c(ccc7cccc[c-](c76)-[n+]->5ccccc3CN2)C[PH]4(c2ccccc2)c2ccccc2)cc1,True,False,20,4,4
17,17_7,CP(C)(C)->[ReH2+3]1(<-[S-]c2c(CS->1c1ccccc1)c([Si](c1ccccc1)(c1ccccc1)c1ccccc1)c([Si](c1ccccc1)(c1ccccc1)c1ccccc1)cc2C[S-]->1)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-P(C)(C)C,C[Si](C)(C)[N-]([Si](C)(C)C)->[ReH2+3]1(<-P(C)(C)C)(<-P(C)(C)C)<-[S-]c2c3cc(c([Si](c4ccccc4)(c4ccccc4)c4ccccc4)c2CS->1c1ccccc1)[Si](c1ccccc1)(c1ccccc1)cccccc[S-]C3,True,False,15,8,8
18,18_16,Nc1n(Cc2c3ccccc3cc3ccccc23)cnn1->[Ag+]<-n1cn(Cc2c3ccccc3cc3ccccc23)c2ncc(N)n->31,Nc1cnc2c3c4ccccccc4ccccc-n1n(->[Ag+]<-n1ncn(Cc4c5ccccc5cc5ccccc45)c1N)cn2C3,True,False,45,26,26
19,19_9,CC(=O)C1=C2CC3(OC(C)=O->[Ru+2]45(<-n6ccccc6-c6ccccn->46)(<-n4ccccc4-c4ccccn->54)<-[C](CC=CC(=C(C)N1)P3)P2)C(=C(C)N1)P1=CC(C)=C(C)C=C1P->52C(C(C)=O)(C(C)=O)C1(C)CC2(OC(C)=O)OC1C,CC(=O)OC12CC(C)(C(C)O1)C(C(C)=O)(C(C)=O)P2C=CC(C)=C(C)C=[PH]1NC(C)=C1C12CC3=C(C(C)=O)NC(C)=C(C=CCC(->[Ru+2]45(<-O=C(C)O1)(<-n1ccccc1-c1ccccn->41)<-n1ccccc1-c1ccccn->51)P3)P2,True,False,21,14,14
20,20_5,CC(C)(C)N1CCN(C(C)(C)C)P12CCCP1(->[Cu+]<-P13CCCP->3(c1ccccc1)CC3)C(C(C)(C)C)C1,CC[PH]1(c2ccccc2)CCCP12->[Cu+]<-P2(CCCP1N(C(C)(C)C)CCN1C(C)(C)C)C(C)C(C)(C)C,True,False,14,6,6
21,21_3,O->[Cr+3]123(<-O)<-n4c5cccc4CN->1CCN->2(Cc1cn(Cc2ccccc2)nn1)Cc1cccc(n->31)CN->5CC1,O->[Cr+3]123(<-O)<-n4c5ccccCN->1(Cc1cn(Cc6ccccc6)nn1)CCN->2Cc1cccc(n->31)N(CC4)C5,True,False,7,5,5
22,22_4,C[Si](C)(C)N1=C2c3ccccc3P(c3ccccc3)(c3ccccc3)->[Mo+2]<-13(<-[I-])(<-N(=C1c4ccccc4P->3(c1ccccc1)c1ccccc1)[Si](C)(C)C)<-N(=C1c3ccccc3P->4(c3ccccc3)c3ccccc31)[Si](C)(C)C,C[Si](C)(C)N1->[Mo+2]23(<-[I-])(<-N([Si](C)(C)C)=Cc4ccccc4[PH]4(c5ccccc5)c5cccccC(=N->2[Si](C)(C)C)c2cccccc(cccccc6ccccc64)P->325)<-P(c2ccccc2)(c2ccccc2)c2ccccc2C=1,True,False,18,8,8
23,23_2,[Cl-]->[Os+4]123(<-[c-]4ccccc4-c4ccccn->14)<-n1c(CN->24CCCC24)cccc1-c1cccc(CN->31CCCCCC1)c1[PH-]->2[CH-]N=C2CCCC21,[Cl-]->[Os+4]123(<-[c-]4ccccc4-c4ccccn->14)<-n1c4cccc1-c1cccc(c5C6CCCC6=N[CH-][PH-]5C5CCCN->25C4)CN->3CCCCCC1,True,False,6,6,6
24,24_5,CC1=CC2=C->[Au+3]3(<-[C]4C=CC=CC4=C(C)N4CCCCN(c5cccc1n->35)[C]->34)<-[N-]2C=C1,C=C[N-]1->[Au+3]23<-C=C1C=C(C)c1cccc(n->21)N1CN(CCCC1)C(C)=C1C=CC=CC->31,True,False,9,6,6
25,25_0,CC1=C([Si](C)(C)C(C)(C)C)C(=[C-]P(c2ccccc2)(c2ccccc2)->[Pt+3]2(<-P([C][Si](C)(C)C)([C][Si](C)(C)C)<-P3(c4ccccc4)C4(C)CCC4N4c5ccccc5N3C)C(C)(C)c3ccccc31)C(C)=C1[Si](C)(C)C(C)(C)C(C)=C1C,CC1=C(C)C(C)(C)[Si](C)(C)C1=C(C)C1=[C-]P23->[Pt+3](<-P(C[Si](C)(C)C)(C[Si](C)(C)C)[PH]4(c5ccccc5)N(C)c5ccccc5N5CCCC54C)(cccccc2cccccc3)C(C)(C)c2ccccc2C(C)=C1[Si](C)(C)C(C)(C)C,True,False,10,6,6
26,26_3,CCCCCOP12([S-]->[Ni+2]1(<-[c-]3ccccc3)<-N(C)(C)CCN->1(C)C)C(c1ccccc1)C(c1ccccc1)C2c1ccccc1,CCCCCOP123[S-]->[Ni+2]1(<-[c-]1ccccc1)<-N(C)(C)CCC(C)(C)c1cccccc4cccccccccccC2C4C13,True,True,8,4,4
27,27_0,Cc1cc(C)c2-c3sc4ccccc4n3->[Ir+3]3(<-[c-]2c1)(<-[c-]1cc(C)cc(C)c1-c1sc2ccccc2n->31)(<-[c-]1c(C)cc(C)c2-c1sc3ccccc3n->41)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,Cc1c-c2scccccc3n2->[Ir+3]2456<-[c-]7cc(C)cc(C)c7-c7sc(ccccc(c8c(C)cc(C)[c-]->2c-8sc2ccccc2n-3c2cccccccccccP->42c2ccccc2)n->57)[c-]->6cc(C)c1,True,False,175,4,4
28,28_6,[Br-]->[Pd+2]1(<-[Br-])<-[C]2N3C=CN2CCCN(CCCN2C=CN(CCCN2C=CN(CCN4C=CN(C5CCCCCCCC5)[C]->14)[C]->23)[C]->42)c2ccccc23,[Br-]->[Pd+2]1(<-[Br-])<-C2N3C=CN2C2C4C->1N(C1CCCCCCCC1)C=CNCCN2C=CN1CCCN4C=CN1CCCN(c1ccccc1)CCC3,True,False,9,9,9
29,29_2,Cc1ccc([N-]2C3c4ccccn4->[Co+2]<-234(<-C=C->3)<-n2ccccc2-c2cccc(-c5ccccn->45)n->42)cc1,Cc1ccc([N-]2->[Co+2]34(<-C=CC2c2ccccn->32)<-n2ccccc2-c2cccc(-c3ccccn-3)n->42)cc1,True,False,8,4,4
30,30_9,C1=CN2C3CCCCC3N3C=C4C=CC=C[N-]4->[Ru+2]45(<-N=32)(<-N2=CN(CCCC2)C2=CC=CC(=N->42)C(=N->5)C2=CC=CC=C12)<-[N-]1C(=CC=C2CCC=C=12)C(=NCC=1)CCC2,C=CN1C2CCCCC2C2=N1->[Ru+2]134(<-N=C(C5=CC=CC=C5[N-]->1C1=CC=C5CCC=C=CCN=C1CCC5)C1=N->3C(=CC=C1)N1C=N->4CCCC1)<-[N-]1C=CC=CC1=C2,False,True,43,43,43
31,31_2,CO1C(C)(C)C2N(C)N3c4ccccc4N(C)C3N(C)(C(=N21)->[Ni+2]<-1(<-[Cl-])<-[Cl-])N(C)(C(C)(C)C)C2(C)C,COC(C)(C)C1N(C)N2c3ccccc3N(C)C2C(C)(C(C)(C(C)C)C(C)(C)C)C2->[Ni+2](<-[Cl-])(<-[Cl-])<-N=21,False,True,6,6,6
32,32_1,C=Cc1ccccc1N1C2=C(c3ccccc3)c3ccc4c(-c5ccccc5)c5n6->[Fe+3]7(<-[Cl-])(<-n2c1cc1c(cc2c8c(c(c6N9=C(C=CC9=C(C)C=C(C)[C-]9[CH-]C=2[C]->79)[C]8)cc2ccccc32)C=C1)C=C5)<-[N-]2C=CC=CC=12,C=Cc1ccccc1NC1=C(c2ccccc2)c2cccc(-c3ccccc3)c3n4->[Fe+3]56(<-[Cl-])<-C7C8=c(cc(c9cc9n->51)C=C3)c1c(c(cc3ccccc23)c4C2=C(C1)C=CC2=C(C)C=C(C)[C-]7[CH-]8)C=C=C1C=CC=C[N-]->61,False,True,6,5,5
33,33_3,O=C([O-])c1cc(C(=O)O)c(-c2nn[nH][c-]2->[Pd+2]2(<-[I-])<-N(=Nc3c([N-]->2[Si](C)(C)C)ccc2ccccc3)c2ccccc2)c(-c2ccccc2)c1,C[Si](C)(C)[N-]1->[Pd+2](<-[I-])(<-[c-]2[nH]nnc2-c2c(C(=O)O)cc(C(=O)[O-])cc2-c2ccccc2)<-N2=Nc3cccccc(cccccc2)ccc31,False,False,8,4,4
34,34_182,CN1CCCN2(CCN3C(=O)OC45CCCC4C53)=C1N1->[Co+3]6(<-N3=C21)(<-N1=C(N(CC4=O1)N2C(=O)OC34CCCC24)C(N)=C1N(C)CCN1(C)CC2)<-N1=C(N(C)N3C(=O)OC32CCCC21)C(N)=C1N(C)CCN1(C)CC3,CN1CCC2(C)CCC3CCCC4CCC5(C)CCN(C)C5=C(N)C5=N3->[Co+3]3(<-N6=C(C(N)=C12)N(CC=N6)N1C(=O)OC2(CCCC12)N(C(=O)O4)N5C)<-N1=C2N->3C3=P2(CCCN3C)CCN1C(=O)OC12CCCC1C2,False,True,245,245,245
35,35_0,CC1(C)C(=O)N2=NC(=O->[Co+2]<-23(<-[N-2][N+]#N)(<-O=C3N(N=C([O-]->3)C(C)(C)C)C(C)(C)C)<-[O-]C2=O)C(C)(C)C(C)(C)N1[O-],CC(C)(C)C1=NN(C(C)(C)C)C(=O->[Co+2]2(<-[N-2][N+]#N)(<-O=C3N=NC(=O)C(C)(C)N([O-])C(C)(C)C3(C)C)<-[O-]C->2=O)O1,True,True,5,5,5
36,36_19,CC1=C2C=CC=C[N-]2->[Co+4]234(<-[N-]5C=CC=CC5=C(C)N->2=NC=NN->3=C(C)C2=N->4C(=C1)N=C2C(=O)N1CCC2)<-N1CCCC1,CCCN1CCCCN->[Co+4]2345<-N(=NC=NN->2=C(C)C2=N->3C(=CC(C)=C3C=CC=C[N-]->43)N=C2C1=O)C(C)=C1C=CC=C[N-]->51,False,False,25,25,25
37,37_4,CC(C)P(c1ncc[nH]1)(C(C)C)->[OsH4+]1<-[C]2Oc3ccccc3O2[As](C2=C3O[Si](C)(C)O[Si](C)(C)C3=C[As]->12C(C)C)O2,CC(C)P(c1ncc[nH]1)(C(C)C)->[OsH4+]1<-C2Oc3ccccc3N2[As](O)C2=C3O[Si](C)(C)O[Si](C)(C)C3=C[As]->12C(C)C,False,True,5,5,5
38,38_0,CC1(C)O[B-](=C23C4C=C(Cl)CC4=[N+]4=C5C=CC=C(c6ccccc64)C5=N3->[Hg+3](<-[I-])<-[N-]3C6=C4C=CC6C=32)OC1(C)C,CC1(C)O[B-](=P23C4=N5->[Hg+3](<-[I-])<-N2=C2C(=CC=CC2=P2=CCC(Cl)=CC23)c2ccccc2C2=C5C4C=C2)OC1(C)C,False,True,4,4,4
39,39_0,[O-2]->[V+5]1234<-N5=CC=N->1CCCN->2(CCCN->3=C1[CH-]CCCC1=N->4CCC5)CCC1,[O-2]->[V+5]123<-N4=CC=C5CCCN->16CCCC(=N->2CCC4)CCC[CH-]C5=N->3CCC6,True,True,5,5,5
40,40_1,CC1=CC2=C->[Ir+]34(<-C=C(C)C=C->3C)(<-[c-]3cccc4c3-c3c(C)cc(C)cc3C2C=N->43)<-P(C(C)C)(C(C)C)C(C)C,CC=CC1=C->[Ir+]2(<-P(C(C)C)(C(C)C)C(C)C)(<-C=C(C)C=C->2C)<-[c-]2cccc3c2-cc(C)cc(C)cc2C3=CC12,True,True,11,7,7
41,41_1,Cc1ccc(S(=O)(=O)N23Cc4ccccn4->[Cu+2]<-2456<-n2ccccc2CN->4(C(C)(C)C)C(CS(=O)(=O)c2ccc(C)cc2)C(N->5(C)C)C2CC3)cc1,Cc1ccC2CCN3(S(=O)(=O)c4ccc(C)cc4)->[Cu+2]45(<-n6ccccc6C3)<-n3cccccCN->4(C(C)(C)C)C(CS(=O)(=O)c3cc1)C2N->5(C)C,False,False,6,4,4
42,42_1,C1=C(C=CC2=CC3=N4->[Co+2]56(<-N7=C2C=C7C=C=C=14)(<-N1=C2C=C1C=C=C=C2=CN->52)<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1)CC=N3,C1=C=P2=CN2->[Co+2]23(<-P(C4CCCCC4)(C4CCCCC4)C4CCCCC4)<-N4=CC=C4C=C=P4=C=C5C=CC(=CC(=N->24)N=CC5)C2=N->3C(=C2)C=1,False,True,5,5,5
43,43_5,O=C1c2ccccc2[N-]2Cc3ccccc3[N-]3C(=O)c4ccccn4->[Ru+4]<-2<-34(<-n2ccccc2C3=CC(=C1c1ccccc1)N=N[N-]->43)<-[N-]=N[N-]3,[N-]N=[N-]->[Ru+4]1234<-n5ccccc5C(=O)[N-]->1c1ccccc1C[N-]->2c1ccccc1C(=O)C(c1ccccc1)=C1C=C(c2ccccn->32)[N-]->4N=N1,False,False,6,6,6
44,44_1,C1CN(C(c2ccccc2)(c2ccccc2)c2ccccc2)C(N2CCCCC2)[N-]1->[Ag+]<-[N-]1C(N2CCCCC2)N(C(c2ccccc2)(c2ccccc2)c2ccccc2)C1N(Cc1ccccc1)(c1ccccc1)C1CC3CC(C1)CC2C3,c1cccccc2cccccN3CCCCCN4CCCCCc5cccccc6cccccc7cccccC8CC9CC(C8)CC(C9)C(Cc8ccccc8)(c8ccccc8)C8N(C4[N-]8->[Ag+]<-[N-]4CCN(C34)C12c1ccccc1)C576,False,True,17,11,11
45,45_3,CC1=C(C)[N-]2N=C(NCCP(=[N-]->[Co+3]<-234(<-NCCN->3)<-[N-]3C(C)=C(C)N=N->4C3=NC2=O)NCCP(=O)(c2ccccc2)c2ccccc2)C(C)=NC1=O,CC1=NC(=O)C(C)=C(C)[N-]2->[Co+3]345(<-[N-]=[PH](CCNC1=N2)NCCP1(=O)cccccccccccc1C(=O)N=C1N->3=NC(C)=C(C)[N-]->41)<-NCCN->5,False,False,7,4,4
46,46_1,N#[N+][N-2]->[Ni+2]12<-n3nn(Cc4ccccc4)cc3C3=CC(=CNc4ccccc4)C=C(c4ccccn->14)N(Cc1ccccc1)C(=C1C=CC(=N->21)C=C1)C=C3,N#[N+][N-2]->[Ni+2]12<-N3=C(C=CC4=C5C=CC(=CC(=CNc6ccccc6)C=C(c6ccccn->16)N5Ccccccc4)c1cn(Cc4ccccc4)nn->21)C=C3,False,False,7,5,5
47,47_2,CC1(C)C2CCC3C(C)(C)C4=N(->[Fe+2](<-[Cl-])(<-[Cl-])<-N5=C1CCC5C1CCC5CC6CCC1(C6)C5)C3C1CCC3C(C)(C)C2,CC(C)C1CCC2C3C(CCCC(C)(C)C1)C14CCC(CC(CCC5C6=N(->[Fe+2](<-[Cl-])(<-[Cl-])<-N3=CC2(C)C)C5CC6)C1)C4,False,False,15,15,15
48,48_1,c1ccc([B-]23c4cccc5P(C6CCCCC6)(C6CCCCC6)->[Rh+3]<-267(<-[c-]25)<-n2cccn2[B-](c2ccccn2)(n2cccn->62)c2cccc1nP->723C1CCCCC1)C1CCCCC1,c1ccccnn2cccn3->[Rh+3]4567<-[c-]3c(cccc[B-]->43c(C4CCCCC4)cccc4cccc([B-]12n1cccn->51)[PH]->63(C1CCCCC1)n4)P->7(C1CCCCC1)C1CCCCC1,False,False,10,4,4
49,49_3,C[Si](C)(C)C#CCN1Cc2ccccc2N2[O-]->[Fe+3]3(<-[O-]C4=CC=CC4=C[N-]->3[Si](C)(C)C)<-[N-]3C=Cc4ccccc4N3Cc3ccccc3CN3[Si](C)(C)C,C[Si](C)(C)C#CCNCc1ccccc1N[O-]->[Fe+3]1(<-[N-]2C=Cc3ccccc3N2Cc2ccccc2CN[Si](C)(C)C)<-[O-]C2=CC=CC2=C[N-]->1[Si](C)(C)C,False,False,12,4,4
50,50_2,CC1CC(C)(C)P1(->[Au+]<-P12CN3CN(CN(C3)C1)C2)C(C)CC1,CC1CCCN2CN3CN(C2)CP(->[Au+]<-P12C(C)CC2(C)C)C3,False,False,5,5,5
51,51_3,CC(C)OC1=CN2c3ncccn3->[Cu+2]3(<-[Cl-])(<-[Cl-])<-S=C(N=C2c2ncccn2)c2cc(Cl)cc(OC(C)C)c2C1=NN->32,CC(C)OC1=CN2C(c3ncccn3)=NC3=S->[Cu+2](<-[Cl-])(<-[Cl-])(<-n4cccnc42)<-N2N=C1cc(OC(C)C)cc(Cl)cc32,False,False,6,5,5
52,52_3,Cc1ccc(C2=CC3=C[N-](C(C)(C)C)->[Co+3]4(<-[N-]3C=C2)<-N(=C2C=Cc5ccc(C)cc5)c2ccc(C)cc2[N-]->4C(C)(C)C)cc1,Cc1ccc(C=CC2=N3->[Co+3]4(<-[N-]5C=CC(c6ccc(C)cc6)=CC5=C[N-]->4C(C)(C)C)<-[N-](C(C)(C)C)c2cc(C)ccc3)cc1,False,False,5,4,4
53,53_4,Cc1ccc2[O-]->[Ni+2]3(<-[O-]c4ccc(C)cc4C=N->3Cc3ccc4ccc5cccc6ccc3c4c56)<-N(=Cc2c1)Cc1ccc2ccc4cccc6ccc1c2c36,Cc1ccc2c(c1)C=N1->[Ni+2]3(<-[O-]2)<-[O-]c2ccc(C)cc2C=N->3Cc2ccc3ccc(cccc4ccc2c3c4)c2ccc(c3ccc4cccc(cc2)c4c3)C1,False,False,25,6,6
54,54_21,Cc1cn(C2CC3[O-]->[Mn+2]4(<-[O-]C5CCC6(C)[O-]->4)(<-[O-]C5CCC5(C)Nc4cnc5cc(Cl)c(Cl)cc5n4)(<-N3=N2)<-N=N3)c(=O)n1CC2,Cc1cn2c(=O)n1CCC2CC1N=N->[Mn+2]23(<-N=N)(<-[O-]CCCC(C)(Nc4cnc5cc(Cl)c(Cl)cc5n4)C(CCC(C)[O-]->2)[O-]->3)<-[O-]1,False,False,45,45,45
55,55_0,CC1(C)C2CCC1(C)C(N1CCN3->[Pd+2](<-[Cl-])(<-[Cl-])<-N=3C1(C)CCC1C(C)(C)C)C2,CC(C)C1CCC2(C)C(C1)N2CCN1->[Pd+2](<-[Cl-])(<-[Cl-])<-N=1C1(C)CCC1C(C)(C)C,False,False,5,5,5
56,56_5,CC1(C)C2CCC1(C)C(N1c3ccccc3N(C3CC3)[C]3->[Pd+2](<-[Br-])(<-[Br-])<-[C]3N(Cc4ccccc41)c1ccccc1N3C1CC1)C2,CC1(C)C2CCC1(C)C(N1c3ccccc3CN(c3ccccc3NC3CC3)C3->[Pd+2](<-[Br-])(<-[Br-])<-C3N(C3CC3)c3ccccc31)C2,False,False,7,6,6
57,57_0,C=C1C(=O)[N-]2->[Co+3]3(<-N(=O)C(C)=C2C=C1)(<-N(=O)C(C)=C1C(=O)[N-]->3C(=C)C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,C=CC(=O)[N-]1->[Co+3]23(<-P(c4ccccc4)(c4ccccc4)c4ccccc4)<-N(=O)C(C)=C(C=CC1=C(C)N->2=O)C(=O)[N-]->3C(=C)C,False,False,9,5,5
58,58_0,CN1CC2(Cc3ccccc3)N->[Co+3]<-134(<-N1)<-NC(CO->3C(N)C1CCCC3CCC1)C(N)C2CC,CCC1C(N)C2COC(N)C3CCCC(->[Co+3]4(<-N2)<-NN(C)CC1(Cc1ccccc1)N->4)CCC3,True,False,19,11,11
59,59_5,CC1(C)COC2C3=N(->[Cu+2]4(<-[O-]C(=O)C(F)(F)F)<-[N-]5C(=C2C=C5)C=Cc5c(C6=C(C#N)C(=O)C(=C3)C6=O)ccc6c5c(c63)C(C)(C)C(=O)N2)C(=O)C(C)(C)C1=O,CC1(C)COC2NC(=O)C(C)(C)c3cc4ccc5c(c34)C=CC3=CC=C[N-]3->[Cu+2](<-[O-]C(=O)C(F)(F)F)<-N(=C2C=C2C(=O)C(C#N)=C5C2=O)C(=O)C(C)(C)C1=O,False,False,9,9,9
