,LLM_SMI,Valence,Dative,TotalNum
10,O=C1N=C([S-]->[Cu+2]2(<-[S-]C(=NC(=O)c3ccccc3)N3CCN4CCN->2=C43)<-N2=C(N=C([S-]->3)N3CCN4CC3)N3CCOCC2)N2CCOCC1,True,True,12
11,CC1(C)C2CCC(C2)N1->[Cu+]<-N1=C(c2ccccc2)C1CCC2C3CCC(C3)N1C(C)(C)C21CCC(C1)N->21C(C)(C)C1CCC2C3CCC(C3)N1C2(C)C,True,True,8
12,CC#N->[Cu+2]123<-n4nn(Cc5ccccc5)cc4CN->1(Cc1nn(Cc4ccccc4)cc1CN->2(Cc1nn(Cc4ccccc4)cc1CN->3(Cc1ccccc1)Cc1nn(Cc4ccccc4)cc1C(N)O->4)C1CCOCC1)CCOCC1,True,True,43
13,Oc1ccc([N-]2C3=C([N-](c4ccc(O)cc4)->[Ni+4]<-24(<-[I-])<-[N-](C2=C([N-]->4c4ccc(O)cc4)c4cccc5cccc2c45)c2ccc(O)cc2)C2=C([N-]->5c4ccc(O)cc4)c4cccc5cccc2c45)cc1,True,True,5
14,C1=CC2=C(c3ccccc3)C3=N4->[Ni]56<-N7=C(C=CC7=C(c7ccccc7)C1=N->52)C(c1ccccc1)=C1C=CC(=N->61)C(=N->76)C=C3,True,True,11
15,C=CCc1cc(C)cc2c1-c12P(C(c1ccccc1)(c1ccccc1)c1ccccc1)(C(=O)c1ccccc1)->[Pt+2]1(<-[Cl-])<-[CH-](C#N)[C-]->1(C#N)P(C(C)(C)C)(C(C)(C)C)=C2,False,True,11
16,c1ccc(P2(NCc3cccc[n+]35->[IrH+2]456(<-[c-]34C2)<-n2c(CP->4(c4ccccc4)c4ccccc4)ccc3cccc[c-]->5c32)c2ccccc2)cc1,False,True,4
17,CP(C)(C)->[ReH2+3]1(<-[S-]c2c(CS->1c1ccccc1)c([Si](c1ccccc1)(c1ccccc1)c1ccccc1)c([Si](c1ccccc1)(c1ccccc1)c1ccccc1)cc2C[S-]->1)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-P(C)(C)C,False,True,8
18,Nc1n(Cc2c3ccccc3cc3ccccc23)cnn1->[Ag+]<-n1cn(Cc2c3ccccc3cc3ccccc23)c2ncc(N)n->31,False,True,26
19,CC(=O)C1=C2CC3(OC(C)=O->[Ru+2]45(<-n6ccccc6-c6ccccn->46)(<-n4ccccc4-c4ccccn->54)<-[C](CC=CC(=C(C)N1)P3)P2)C(=C(C)N1)P1=CC(C)=C(C)C=C1P->52C(C(C)=O)(C(C)=O)C1(C)CC2(OC(C)=O)OC1C,False,True,14
20,CC(C)(C)N1CCN(C(C)(C)C)P12CCCP1(->[Cu+]<-P13CCCP->3(c1ccccc1)CC3)C(C(C)(C)C)C1,False,True,6
21,O->[Cr+3]123(<-O)<-n4c5cccc4CN->1CCN->2(Cc1cn(Cc2ccccc2)nn1)Cc1cccc(n->31)CN->5CC1,False,True,5
22,C[Si](C)(C)N1=C2c3ccccc3P(c3ccccc3)(c3ccccc3)->[Mo+2]<-13(<-[I-])(<-N(=C1c4ccccc4P->3(c1ccccc1)c1ccccc1)[Si](C)(C)C)<-N(=C1c3ccccc3P->4(c3ccccc3)c3ccccc31)[Si](C)(C)C,False,True,8
23,[Cl-]->[Os+4]123(<-[c-]4ccccc4-c4ccccn->14)<-n1c(CN->24CCCC24)cccc1-c1cccc(CN->31CCCCCC1)c1[PH-]->2[CH-]N=C2CCCC21,False,True,6
24,CC1=CC2=C->[Au+3]3(<-[C]4C=CC=CC4=C(C)N4CCCCN(c5cccc1n->35)[C]->34)<-[N-]2C=C1,False,True,6
25,CC1=C([Si](C)(C)C(C)(C)C)C(=[C-]P(c2ccccc2)(c2ccccc2)->[Pt+3]2(<-P([C][Si](C)(C)C)([C][Si](C)(C)C)<-P3(c4ccccc4)C4(C)CCC4N4c5ccccc5N3C)C(C)(C)c3ccccc31)C(C)=C1[Si](C)(C)C(C)(C)C(C)=C1C,False,True,6
26,CCCCCOP12([S-]->[Ni+2]1(<-[c-]3ccccc3)<-N(C)(C)CCN->1(C)C)C(c1ccccc1)C(c1ccccc1)C2c1ccccc1,False,True,4
27,Cc1cc(C)c2-c3sc4ccccc4n3->[Ir+3]3(<-[c-]2c1)(<-[c-]1cc(C)cc(C)c1-c1sc2ccccc2n->31)(<-[c-]1c(C)cc(C)c2-c1sc3ccccc3n->41)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,False,True,4
28,[Br-]->[Pd+2]1(<-[Br-])<-[C]2N3C=CN2CCCN(CCCN2C=CN(CCCN2C=CN(CCN4C=CN(C5CCCCCCCC5)[C]->14)[C]->23)[C]->42)c2ccccc23,False,True,9
29,Cc1ccc([N-]2C3c4ccccn4->[Co+2]<-234(<-C=C->3)<-n2ccccc2-c2cccc(-c5ccccn->45)n->42)cc1,False,True,4
30,C1=CN2C3CCCCC3N3C=C4C=CC=C[N-]4->[Ru+2]45(<-N=32)(<-N2=CN(CCCC2)C2=CC=CC(=N->42)C(=N->5)C2=CC=CC=C12)<-[N-]1C(=CC=C2CCC=C=12)C(=NCC=1)CCC2,True,False,43
31,CO1C(C)(C)C2N(C)N3c4ccccc4N(C)C3N(C)(C(=N21)->[Ni+2]<-1(<-[Cl-])<-[Cl-])N(C)(C(C)(C)C)C2(C)C,True,False,6
32,C=Cc1ccccc1N1C2=C(c3ccccc3)c3ccc4c(-c5ccccc5)c5n6->[Fe+3]7(<-[Cl-])(<-n2c1cc1c(cc2c8c(c(c6N9=C(C=CC9=C(C)C=C(C)[C-]9[CH-]C=2[C]->79)[C]8)cc2ccccc32)C=C1)C=C5)<-[N-]2C=CC=CC=12,True,False,5
33,O=C([O-])c1cc(C(=O)O)c(-c2nn[nH][c-]2->[Pd+2]2(<-[I-])<-N(=Nc3c([N-]->2[Si](C)(C)C)ccc2ccccc3)c2ccccc2)c(-c2ccccc2)c1,True,False,4
34,CN1CCCN2(CCN3C(=O)OC45CCCC4C53)=C1N1->[Co+3]6(<-N3=C21)(<-N1=C(N(CC4=O1)N2C(=O)OC34CCCC24)C(N)=C1N(C)CCN1(C)CC2)<-N1=C(N(C)N3C(=O)OC32CCCC21)C(N)=C1N(C)CCN1(C)CC3,True,False,245
35,CC1(C)C(=O)N2=NC(=O->[Co+2]<-23(<-[N-2][N+]#N)(<-O=C3N(N=C([O-]->3)C(C)(C)C)C(C)(C)C)<-[O-]C2=O)C(C)(C)C(C)(C)N1[O-],True,False,5
36,CC1=C2C=CC=C[N-]2->[Co+4]234(<-[N-]5C=CC=CC5=C(C)N->2=NC=NN->3=C(C)C2=N->4C(=C1)N=C2C(=O)N1CCC2)<-N1CCCC1,True,False,25
37,CC(C)P(c1ncc[nH]1)(C(C)C)->[OsH4+]1<-[C]2Oc3ccccc3O2[As](C2=C3O[Si](C)(C)O[Si](C)(C)C3=C[As]->12C(C)C)O2,True,False,5
38,CC1(C)O[B-](=C23C4C=C(Cl)CC4=[N+]4=C5C=CC=C(c6ccccc64)C5=N3->[Hg+3](<-[I-])<-[N-]3C6=C4C=CC6C=32)OC1(C)C,True,False,4
39,[O-2]->[V+5]1234<-N5=CC=N->1CCCN->2(CCCN->3=C1[CH-]CCCC1=N->4CCC5)CCC1,True,False,5
40,CC1=CC2=C->[Ir+]34(<-C=C(C)C=C->3C)(<-[c-]3cccc4c3-c3c(C)cc(C)cc3C2C=N->43)<-P(C(C)C)(C(C)C)C(C)C,True,False,7
41,Cc1ccc(S(=O)(=O)N23Cc4ccccn4->[Cu+2]<-2456<-n2ccccc2CN->4(C(C)(C)C)C(CS(=O)(=O)c2ccc(C)cc2)C(N->5(C)C)C2CC3)cc1,True,False,4
42,C1=C(C=CC2=CC3=N4->[Co+2]56(<-N7=C2C=C7C=C=C=14)(<-N1=C2C=C1C=C=C=C2=CN->52)<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1)CC=N3,True,False,5
43,O=C1c2ccccc2[N-]2Cc3ccccc3[N-]3C(=O)c4ccccn4->[Ru+4]<-2<-34(<-n2ccccc2C3=CC(=C1c1ccccc1)N=N[N-]->43)<-[N-]=N[N-]3,True,False,6
44,C1CN(C(c2ccccc2)(c2ccccc2)c2ccccc2)C(N2CCCCC2)[N-]1->[Ag+]<-[N-]1C(N2CCCCC2)N(C(c2ccccc2)(c2ccccc2)c2ccccc2)C1N(Cc1ccccc1)(c1ccccc1)C1CC3CC(C1)CC2C3,True,False,11
45,CC1=C(C)[N-]2N=C(NCCP(=[N-]->[Co+3]<-234(<-NCCN->3)<-[N-]3C(C)=C(C)N=N->4C3=NC2=O)NCCP(=O)(c2ccccc2)c2ccccc2)C(C)=NC1=O,False,False,4
46,N#[N+][N-2]->[Ni+2]12<-n3nn(Cc4ccccc4)cc3C3=CC(=CNc4ccccc4)C=C(c4ccccn->14)N(Cc1ccccc1)C(=C1C=CC(=N->21)C=C1)C=C3,False,False,5
47,CC1(C)C2CCC3C(C)(C)C4=N(->[Fe+2](<-[Cl-])(<-[Cl-])<-N5=C1CCC5C1CCC5CC6CCC1(C6)C5)C3C1CCC3C(C)(C)C2,False,False,15
48,c1ccc([B-]23c4cccc5P(C6CCCCC6)(C6CCCCC6)->[Rh+3]<-267(<-[c-]25)<-n2cccn2[B-](c2ccccn2)(n2cccn->62)c2cccc1nP->723C1CCCCC1)C1CCCCC1,False,False,4
49,C[Si](C)(C)C#CCN1Cc2ccccc2N2[O-]->[Fe+3]3(<-[O-]C4=CC=CC4=C[N-]->3[Si](C)(C)C)<-[N-]3C=Cc4ccccc4N3Cc3ccccc3CN3[Si](C)(C)C,False,False,4
50,CC1CC(C)(C)P1(->[Au+]<-P12CN3CN(CN(C3)C1)C2)C(C)CC1,False,False,5
51,CC(C)OC1=CN2c3ncccn3->[Cu+2]3(<-[Cl-])(<-[Cl-])<-S=C(N=C2c2ncccn2)c2cc(Cl)cc(OC(C)C)c2C1=NN->32,False,False,5
52,Cc1ccc(C2=CC3=C[N-](C(C)(C)C)->[Co+3]4(<-[N-]3C=C2)<-N(=C2C=Cc5ccc(C)cc5)c2ccc(C)cc2[N-]->4C(C)(C)C)cc1,False,False,4
53,Cc1ccc2[O-]->[Ni+2]3(<-[O-]c4ccc(C)cc4C=N->3Cc3ccc4ccc5cccc6ccc3c4c56)<-N(=Cc2c1)Cc1ccc2ccc4cccc6ccc1c2c36,False,False,6
54,Cc1cn(C2CC3[O-]->[Mn+2]4(<-[O-]C5CCC6(C)[O-]->4)(<-[O-]C5CCC5(C)Nc4cnc5cc(Cl)c(Cl)cc5n4)(<-N3=N2)<-N=N3)c(=O)n1CC2,False,False,45
55,CC1(C)C2CCC1(C)C(N1CCN3->[Pd+2](<-[Cl-])(<-[Cl-])<-N=3C1(C)CCC1C(C)(C)C)C2,False,False,5
56,CC1(C)C2CCC1(C)C(N1c3ccccc3N(C3CC3)[C]3->[Pd+2](<-[Br-])(<-[Br-])<-[C]3N(Cc4ccccc41)c1ccccc1N3C1CC1)C2,False,False,6
57,C=C1C(=O)[N-]2->[Co+3]3(<-N(=O)C(C)=C2C=C1)(<-N(=O)C(C)=C1C(=O)[N-]->3C(=C)C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,False,False,5
58,CN1CC2(Cc3ccccc3)N->[Co+3]<-134(<-N1)<-NC(CO->3C(N)C1CCCC3CCC1)C(N)C2CC,False,False,11
59,CC1(C)COC2C3=N(->[Cu+2]4(<-[O-]C(=O)C(F)(F)F)<-[N-]5C(=C2C=C5)C=Cc5c(C6=C(C#N)C(=O)C(=C3)C6=O)ccc6c5c(c63)C(C)(C)C(=O)N2)C(=O)C(C)(C)C1=O,False,False,9
