,CSD_ID,TMC-SMILES
31,IBUWEJ,Cn1cc(N([O-])[O-])cc1C(=O)NN=Cc1ccccn1->[Hg+4](<-[Cl-])<-[Cl-]
32,APYBMO,Cc1cc(C)n2->[Mo+2]34(<-[C-]#[O+])(<-[C-]#[O+])(<-C=C->3[CH2-]->4)<-n3c(C)cc(C)n3[BH2-]n12
33,GEKFEI,CP(C)(C)->[Ru+2]12(<-[c-]3ccccc3)(<-n3cccn3[BH-](n3cccn->13)n1cccn->21)<-P(C)(C)C
34,QEYZUS,O=C1c2ccccn2->[Cu+](<-n2ccccc21)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
35,BAZLOH,Cc1cc(C)c(N2C=CN(c3c(C)cc(C)cc3C)[C]2->[Ni+2]23<-[S-]C(=Nc4ccccc4)S#C->2N(C(=Nc2ccccc2)[S-]->3)c2ccccc2)c(C)c1
36,MAHZAX,O=C([O-]->[Zn+2](<-O)(<-O)<-[O-]C(=O)c1cc2ccccc2cc1O)c1cc2ccccc2cc1O
37,SIGTAF,CCP(CC)(CC)->[Pd+2](<-[Cl-])(<-[c-]1c(F)c(F)c(C=Cc2ccncc2)c(F)c1F)<-P(CC)(CC)CC
38,DASMUH,CC(C)(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)(C)C)cc3P(c4ccccc4)(c4ccccc4)->[Pd+2](<-[Cl-])(<-[Cl-])<-S2c13
39,WEWLAO,COc1ccc([N-2]->[Rh+7]234(<-N=CCCCc5ccccc5)<-[O-]c5c(N->2=CC(=C[N-]->3c2cc(C(C)(C)C)cc(C(C)(C)C)c2[O-]->4)N([O-])[O-])cc(C(C)(C)C)cc5C(C)(C)C)cc1
40,CICTOX,CC(C)S1c2ccccc2C(=O)[O-]->[Pd+2]<-1(<-[c-]1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
41,KIRVEM,COC(=O)[C-](=O)->[Pt+2](<-[C-](=O)OC)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
42,QIJSEJ,Nc1n[nH]cn1->[Cu+2]12(<-O)<-[NH-]C(=O)c3cccc(C(=O)[NH-]->1)n->23
43,MIFNUK,[Cl-]->[Cu+](<-n1ccccc1)(<-n1ccccc1)<-n1ccccc1
44,EBUYIJ,Cc1nn(-c2ccccc2)c2[O-]->[Cu+2]34(<-O=C(c12)C(F)(F)F)(<-O=C(c1c(C)nn(-c2ccccc2)c1[O-]->3)C(F)(F)F)<-n1cccc2ccc3cccn->4c3c21
45,ECUCEK,[C-3]CC1=O->[Rh+7]2(<-P(CCP->2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2CN1[C-3]
46,VITKAO,Cc1cc2[N+]3=CC(=C4N([O-])C(C)(C)C(C)(C)N4[O-])C=N3->[Re+2](<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c2ccccc12
47,COLTIH,O=C[O-]->[Cu+2]12(<-n3cccc4ccc5cccn->1c5c43)<-n1cccc3ccc4cccn->2c4c31
48,YUMGAR,CCCCC(CC)CSc1oc2ccccc2n1->[Pd+2](<-[Cl-])(<-[Cl-])<-n1c(SCC(CC)CCCC)oc2ccccc21
49,CUWLIQ,[Cl-]->[Au+]<-P1(c2ccccc2)c2c(sc3ccccc23)Sc2sc3ccccc3c21
50,MEVQOT,OCCN(CCO)(CCO)->[Hg+2]<-N(CCO)(CCO)CCO
51,ANAYEW,[Br-]->[Zn+2]1(<-[Br-])<-[C]2N(Cc3ccccc3)c3ccccc3N2Cc2ccccc2-c2ccccc2CN2c3ccccc3N(Cc3ccccc3)[C]->12
52,DEFMUA,[C]=[O+]C(C(=O)[O-]->[Co+2]123<-n4ccccc4CN->1(Cc1ccccn->21)Cc1ccccn->31)=C1C=CC=C[CH-]1
53,PAKHOZ,c1ccc(P(c2ccccc2)(c2ccccc2)->[Cu+]2(<-n3ccccc3-c3cc(-c4cccc(-c5ccccn5)n4)ncn->23)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
54,SEKLOK,Cc1ccn2[B-]3(n4ccc(C)n4->[Fe+3]45(<-n12)(<-n1c(C)ccn13)<-n1c(C)ccn1[B-](n1ccc(C)n->41)(n1ccc(C)n->51)C(C)(C)C)C(C)(C)C
55,HABRAG,CC(C)N1Cc2cccc3CN(C(C)C)->[Ni+2]<-1(<-[Cl-])(<-[Cl-])<-n23
56,FEWYUE,CCP(CC)(CC)->[Pd]1(<-C=C->1(c1ccccc1)P(=O)(c1ccccc1)c1ccccc1)<-P(CC)(CC)CC
57,JAXGOH,O->[Co+2]123(<-O)<-n4ccccc4-c4cccc(Sc5cccc(-c6ccccn->16)n->25)n->34
58,QELLID,CC(C)(C)c1cc2S3CCS4c5cc(C(C)(C)C)cc(C(C)(C)C)c5[O-]->[Ti+4]<-3<-4(<-[CH2-]c3ccccc3)(<-[CH2-]c3ccccc3)<-[O-]c2c(C(C)(C)C)c1
59,SIKQEL,[O+]#[C-]->[Cr]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(c2ccccc2)(c2ccccc2)N2c3ccccc3-c3ccccc3P->12c1ccccc1
60,YIQJOA,c1cc[c-](->[Rh+2]23<-n4c(NP->2(C2[CH-]CCC2)C2CCCC2)cccc4NP->3(C2CCCC2)C2CCCC2)cc1
61,NAQLID,CCCP(CCC)(CCC)->[Pt+4]12(<-[Br-])(<-[Br-])<-[c-]3cc(F)ccc3-c3cccc(-c4ccc(F)c[c-]->14)n->23
62,FEQLIX,CC1c2cccc3C(C)=N(c4ccc(F)cc4C(F)(F)F)->[Co+2](<-[Br-])(<-[Br-])(<-N=1c1ccc(F)cc1C(F)(F)F)<-n23
63,NINXAN,[Cl-]->[Pd+2]1(<-[Cl-])<-n2cccc3cccc(N->14CCCCC4)c32
64,TAVMOS,c1ccc2[N-]3N=c4cccc[n-]4->[Ru+6]<-345(<-[S-]c2c1)<-[S-]c1ccccc1[N-]->4N=c1cccc[n-]->51
65,LUZROO,COP(c1ccccc1)(c1ccccc1)->[Pt+2](<-[I-])(<-[I-])<-P(OC)(c1ccccc1)c1ccccc1
66,LABJUW,CC(C)P(C(C)C)(C(C)C)->[Pd+2](<-[F-])(<-[c-]1cc(S(F)(F)(F)(F)F)cc(S(F)(F)(F)(F)F)c1)<-P(C(C)C)(C(C)C)C(C)C
67,GAJMOU,C=CCn1nnnc1[S-]->[Pd+2]12<-[c-]3ccccc3-c3cccc(-c4ccccn->14)n->23
68,UZODET,[O+]#[C-]->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-P(c1ccccc1)(c1ccccc1)c1ccccn1)<-P(c1ccccc1)(c1ccccc1)c1ccccn1
69,JUXFUF,CO->[Mn+3]123(<-[N-2][N+]#N)<-[O-]c4ccc(C)cc4C=N->1c1ccc(Cl)cc1N->2=Cc1cc(C)ccc1[O-]->3
70,QAHLIX,[O+]#[C-]->[Mn+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Nc2ccccn->12)c1ccccn1
71,XAGNUQ,c1ccn2->[Cu+2]34(<-n5ccccc5-c2c1)<-n1ccccc1-c1cccc(-c2ccccn->32)n->41
72,YOGNIT,CC(C)(C)c1ccc(-c2nc3-c4ccccn4->[Ru+2]456(<-N7=C8N(CCCN8c8cccc(N9CCCN%10CCCN->4=C%109)n->58)CCC7)<-n4ccccc4-c(n2)n->63)cc1
73,KUYRAY,[CH3-]->[Pt+2]1(<-[Cl-])<-P(CN(Cc2ccccc2)c2cccc(N(Cc3ccccc3)CP->1(c1ccccc1)c1ccccc1)n2)(c1ccccc1)c1ccccc1
74,XILCEE,CC(=O)C1C=N2c3ccccc3N3=Nc4ccccc4[NH-]->[Ni+2]<-2<-3<-[O-]C=1C
75,FUDSEF,Cc1ccn(->[Cr+3](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-n2ccc(C)[nH]2)<-n2ccc(C)[nH]2)[nH]1
76,YAHCUJ,CCCCc1ccc2ccc3ccc[c-]4->[Ir+3]5(<-[Cl-])(<-[c-]6cccc7ccc8ccc(CCCC)n->5c8c76)<-n1c2c34
77,DAQJIO,N#CC1C(=O)[NH-]->[Cu+2]2(<-N=1[O-])<-n1ccccc1-c1ccccn->21
78,WURKIE,Clc1cc(Cl)c2[O-]->[Fe+2]345(<-[O-]c6c(Cl)cc(Cl)cc6-c6n7ccccc7c(-c7ccccn->37)n->46)<-n3ccccc3-c3c4ccccn4c(-c2c1)n->53
79,WUSYAK,C[Si](C)(C)C([Si](C)(C)C)P12->[Cu+]34<-n5c(cccc5C(c5ccccc5)P->3(C([Si](C)(C)C)[Si](C)(C)C)C(c3ccccc3)c3cccc(n->43)C1c1ccccc1)C2c1ccccc1
80,TUXPOU,CCN1(CC)Cc2cc(Cl)cc3CN(CC)(CC)->[Cu+2]<-1(<-[Cl-])(<-[Cl-])<-n23
81,XIGBAQ,C[O-]->[Pt+5]12(<-[O-2])(<-NCC(C)(C)CN->1)<-[O-]C(=O)C(C(=O)[O-]->2)=C1c2ccccc2-c2ccccc21
82,XAMHUR,CCc1ccc(N->[Zn+2](<-[Br-])(<-[Br-])<-Nc2ccc(CC)cc2)cc1
83,BOVSOV,O=C1[O-]->[Mn+2]2(<-O)(<-O)(<-[O-]C(=O)c3cccn4nnn->2c34)<-n2nnn3cccc1c32
84,CEZRAB,CP(C)(C)->[W+2]12(<-[C-]#[O+])(<-[C-]#[O+])(<-[O-]c3ccccc3N->1(c1ccccc1)c1ccccc1[O-]->2)<-P(C)(C)C
85,PUSWEH,COc1cccc2C=N(c3ccccc3C)->[Zn+2](<-[Cl-])(<-[Cl-])<-n21
86,EFOXAB,N#CC1=C(C#N)N2=Cc3ccc(O)cc3[O-]->[Zn+2]<-23(<-[O-]c2cc(O)ccc2C=N->31)<-n1ccncc1
87,OLOBOH,CP1(C)CCP(C)(C)->[Pd+2]<-1(<-[c-]1ccccc1P(=O)(O)c1ccccc1)<-P([O-])(c1ccccc1)c1ccccc1
88,FONLEZ,COC(=O)[CH-](->[Hg+2]<-[CH-](C(=O)OC)C(=O)OC)C(=O)OC
89,DEFWIY,[C]([C-3]->[Au+5]<-[C-3][C]c1ccc(N=Nc2ccccc2)cc1)c1ccc(N=Nc2ccccc2)cc1
90,ZIDJIH,CN(C)c1ccc2c3c(cccc13)C(=O)N(CCc1ccn(->[Pt+2]34<-n5ccccc5-c5cccc(-c6ccccn->36)n->45)cc1)C2=O
91,VUGCOR,CC(C)(C)P1(Cc2cccc3CN(C)(C)->[Pd+2]<-1(<-[Cl-])<-[c-]32)C(C)(C)C
92,OGEQIE,Cc1n(Cc2ccccc2)ccn1->[Pt+2](<-[I-])(<-[I-])<-n1ccn(Cc2ccccc2)c1C
93,RIZSUO,c1ccn2->[Ni+2]345(<-n6ccncc6Nc6scc(-c2c1)n->36)<-n1ccncc1Nc1scc(-c2ccccn->42)n->51
94,LELFIU,Cc1cc(C)n2->[Co+2]34(<-[Cl-])<-n5c(C)cc(C)n5CN->3(Cn12)Cn1c(C)cc(C)n->41
95,ECOPOF,CC(=O)OC(C1=CC=CC2=CN(c3c(C(C)C)cccc3C(C)C)[C](->[Au+]<-[Cl-])N21)C(C)(C)C
96,LUVSUT,Cc1cccc(C)c1[N-]1c2cccc3ccc4C5=N(->[Pd+2]<-1(<-[Cl-])<-n4c23)C(C)(C)CO5
97,ADURUP,CC1=C2C3=S(=O)=O->[Ir+]<-1<-2<-3(<-P(C)(C)C)(<-P(C)(C)C)<-P(C)(C)C
98,YEBJOI,[O-]c1ccc2[N-]3c4ccccc4[N-]4c5ccc([O-])c6cccc([O-]->[Ni+6]<-3<-4<-[O-]c3cccc1c32)c56
99,UZOHUP,Cc1ccccc1CN1c2ccccc2N(CCc2ccc(O)cc2)[C]1->[Pd+2](<-[Br-])(<-[Br-])<-n1cccc(Cl)c1
